subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	author_id	mapping_date	review_status	mapping_category	source_version	target_version	comment
dct:identifier	dataset identifier	skos:exactMatch	dct:identifier	Identifier	semapv:ManualMappingCuration	1.00	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	direct_reuse	v0.3	v0.3	Direct reuse: v0.3 used dct:identifier directly; the separate migration row records its v0.4 replacement by ex:datasetId.
dcat:Dataset	Dataset	skos:exactMatch	dcat:Dataset	Dataset	semapv:ManualMappingCuration	1.00	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	direct_reuse	v0.4	v0.4	Direct reuse: v0.4 uses the external DCAT class IRI without a local alias.
dct:title	title	skos:exactMatch	dct:title	Title	semapv:ManualMappingCuration	1.00	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	direct_reuse	v0.3	v0.4	Direct reuse: the DCTERMS title predicate remains the same IRI across the metadata migration.
dct:spatial	spatial coverage	skos:exactMatch	dct:spatial	Spatial	semapv:ManualMappingCuration	1.00	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	direct_reuse	v0.4	v0.4	Direct reuse: v0.4 uses the external DCTERMS predicate without a local alias.
dct:accrualPeriodicity	accrual periodicity	skos:exactMatch	dct:accrualPeriodicity	Accrual Periodicity	semapv:ManualMappingCuration	1.00	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	direct_reuse	v0.4	v0.4	Direct reuse: v0.4 uses the external DCTERMS predicate without a local alias.
dcat:endpointURL	endpoint URL	skos:exactMatch	dcat:endpointURL	Endpoint URL	semapv:ManualMappingCuration	1.00	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	direct_reuse	v0.4	v0.4	Direct reuse: v0.4 uses the external DCAT predicate without a local alias.
dct:format	format	skos:exactMatch	dct:format	Format	semapv:ManualMappingCuration	1.00	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	direct_reuse	v0.4	v0.4	Direct reuse: v0.4 uses the external DCTERMS predicate while constraining its value to application/json.
dct:description	description	skos:exactMatch	dct:description	Description	semapv:ManualMappingCuration	1.00	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	direct_reuse	v0.4	v0.4	Direct reuse: the optional v0.4 description field uses the external DCTERMS predicate without a local alias.
dct:license	license	skos:exactMatch	dct:license	License	semapv:ManualMappingCuration	1.00	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	direct_reuse	v0.4	v0.4	Direct reuse: the optional v0.4 license field uses the external DCTERMS predicate without a local alias.
ex:datasetId	dataset identifier	skos:exactMatch	dct:identifier	Identifier	semapv:ManualMappingCuration	0.96	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	external_alignment	v0.4	external	The local v0.4 identifier property expresses the DCTERMS identifier concept while preserving the D-group wire path.
ex:providerName	provider name	skos:closeMatch	dct:publisher	Publisher	semapv:ManualMappingCuration	0.78	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	external_alignment	v0.4	external	The flat literal provider name approximates publisher metadata; a richer profile would use an organization node.
ex:providerName	provider name	skos:closeMatch	schema:provider	Provider	semapv:ManualMappingCuration	0.76	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	external_alignment	v0.4	external	Schema.org provider is a close Web-metadata alignment for the flat provider-name literal.
ex:unit	unit	skos:closeMatch	qudt:unit	Unit	semapv:ManualMappingCuration	0.82	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	external_alignment	v0.4	external	The flat kWh literal approximates QUDT unit semantics; QUDT normally points to a unit resource.
ex:unit	unit	skos:closeMatch	unit:KiloW-HR	Kilowatt Hour	semapv:ManualMappingCuration	0.80	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	external_alignment	v0.4	external	The constrained kWh token denotes the QUDT kilowatt-hour unit concept without adopting its IRI on the wire.
ex:unit	unit	skos:relatedMatch	qudt:ucumCode	UCUM code	semapv:ManualMappingCuration	0.72	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	external_alignment	v0.4	external	The kWh token is related to a UCUM-coded representation exposed through QUDT qudt:ucumCode; lexical-system equivalence requires domain review.
ex:temporalStart	temporal start	skos:closeMatch	time:hasBeginning	Has Beginning	semapv:ManualMappingCuration	0.82	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	external_alignment	v0.4	external	The flat start date approximates the beginning of an OWL-Time interval without creating an interval node.
ex:temporalEnd	temporal end	skos:closeMatch	time:hasEnd	Has End	semapv:ManualMappingCuration	0.82	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	external_alignment	v0.4	external	The flat end date approximates the end of an OWL-Time interval without creating an interval node.
be:providerName	provider name	skos:closeMatch	dct:publisher	Publisher	semapv:ManualMappingCuration	0.75	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	external_alignment	v0.3	external	The historical flat provider string approximates publisher metadata; richer graphs should use an organization node.
be:providerName	provider name	skos:closeMatch	schema:provider	Provider	semapv:ManualMappingCuration	0.75	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	external_alignment	v0.3	external	Schema.org provider is a common Web metadata alignment for the historical literal field.
be:providerName	provider name	skos:closeMatch	foaf:name	Name	semapv:ManualMappingCuration	0.65	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	external_alignment	v0.3	external	When the provider is modeled as an organization node its display label is related to foaf:name.
be:format	format	skos:closeMatch	dcat:mediaType	Media Type	semapv:ManualMappingCuration	0.85	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	external_alignment	v0.3	external	The historical JSON token is related to a media type although it is not itself a media-type IRI.
be:unit	unit	skos:closeMatch	unit:KiloW-HR	Kilowatt Hour	semapv:ManualMappingCuration	0.75	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	external_alignment	v0.3	external	The historical kWh literal denotes the QUDT kilowatt-hour unit concept without using the unit IRI on the wire.
be:temporalStart	temporal start	skos:closeMatch	time:hasBeginning	Has Beginning	semapv:ManualMappingCuration	0.80	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	external_alignment	v0.3	external	The historical flat xsd:date field approximates an OWL-Time interval beginning.
be:temporalEnd	temporal end	skos:closeMatch	time:hasEnd	Has End	semapv:ManualMappingCuration	0.80	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	external_alignment	v0.3	external	The historical flat xsd:date field approximates an OWL-Time interval end.
be:EnergyReadingRecord	Energy Reading Record	rdfs:subClassOf	sosa:Observation	Observation	semapv:ManualMappingCuration	0.90	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	inherited_record_alignment	v0.3	external	The inherited record remains a lightweight SOSA observation profile in v0.4.
be:buildingId	building ID	skos:closeMatch	sosa:hasFeatureOfInterest	Has Feature Of Interest	semapv:ManualMappingCuration	0.75	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	inherited_record_alignment	v0.3	external	A building identifier can identify the feature of interest in a richer SOSA graph.
be:meterId	meter ID	skos:closeMatch	sosa:madeBySensor	Made By Sensor	semapv:ManualMappingCuration	0.75	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	inherited_record_alignment	v0.3	external	A meter identifier can identify the sensor linked through sosa:madeBySensor in a richer graph.
be:meterId	meter ID	skos:relatedMatch	ssn:implements	Implements	semapv:ManualMappingCuration	0.60	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	inherited_record_alignment	v0.3	external	The literal meter identifier is only conceptually related to an SSN system implementing a sensing procedure; no equivalence is claimed.
be:timestamp	timestamp	skos:exactMatch	sosa:resultTime	Result Time	semapv:ManualMappingCuration	0.95	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	inherited_record_alignment	v0.3	external	The reading timestamp aligns with the SOSA result-time predicate.
be:timestamp	timestamp	skos:closeMatch	time:inXSDDateTimeStamp	In XSD date-time-stamp	semapv:ManualMappingCuration	0.82	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	inherited_record_alignment	v0.3	external	The flat timestamp approximates an OWL-Time instant represented by an xsd:dateTimeStamp literal.
be:energyKWh	energy kWh	skos:closeMatch	sosa:hasResult	Has Result	semapv:ManualMappingCuration	0.75	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	inherited_record_alignment	v0.3	external	The historical mapping relates the energy reading to a SOSA result node; the hasSimpleResult row captures the literal-oriented refinement.
be:energyKWh	energy kWh	skos:closeMatch	sosa:hasSimpleResult	Has Simple Result	semapv:ManualMappingCuration	0.82	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	inherited_record_alignment	v0.3	external	The numeric reading is a simple SOSA observation result while the local field also fixes the energy quantity convention.
be:energyKWh	energy kWh	skos:closeMatch	qudt:numericValue	Numeric Value	semapv:ManualMappingCuration	0.90	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	inherited_record_alignment	v0.3	external	The energy value aligns with QUDT numericValue when a richer quantity-value node is introduced.
be:unit	unit	skos:closeMatch	qudt:unit	Unit	semapv:ManualMappingCuration	0.82	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	inherited_record_alignment	v0.3	external	The inherited record unit literal approximates the QUDT unit relation.
be:unit	unit	skos:relatedMatch	qudt:ucumCode	UCUM code	semapv:ManualMappingCuration	0.72	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	inherited_record_alignment	v0.3	external	The inherited kWh token is related to a UCUM-coded representation exposed through QUDT qudt:ucumCode.
be:location	location	skos:exactMatch	dct:spatial	Spatial	semapv:ManualMappingCuration	0.90	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	inherited_record_alignment	v0.3	external	The inherited record location aligns with spatial metadata.
be:location	location	skos:closeMatch	schema:location	Location	semapv:ManualMappingCuration	0.85	C_Group	2026-06-25	PENDING_DOMAIN_REVIEW	inherited_record_alignment	v0.3	external	Schema.org location is a close alignment for the lightweight JSON node.
